Area_Code,Population,Households,Med_Age,Med_HH_Inc,Avg_HH_Inc
00072,0,0,0.0,0,0
00073,0,0,0.0,0,0
00074,0,0,0.0,0,0
00076,0,0,0.0,0,0
00195,0,0,0.0,0,0
98001,35688,11775,37.9,80095,98187
98002,34964,13759,35.6,52515,66699
98003,49281,19117,36.1,55480,73891
98004,34497,17021,39.8,126920,173121
98005,19171,8075,38.9,106708,148098
98006,40892,14823,43.0,135247,179429
98007,28365,11532,33.6,93620,124719
98008,25739,9568,41.8,104611,150296
98010,5575,1991,40.6,100154,123615
98011,27153,11250,38.7,92372,117371
98012,67696,25558,37.5,102660,125988
98014,7782,2804,42.2,114394,157105
98019,12800,4366,37.6,118177,147952
98020,20013,9228,52.1,98423,146541
98021,31488,11986,39.9,117310,145550
98022,22793,8947,41.3,73855,97542
98023,51957,18571,36.4,79007,97694
98024,6619,2364,41.3,126321,162320
98026,38651,15763,44.1,90358,117427
98027,28173,11214,42.0,123478,165581
98028,23693,9114,39.6,103555,130232
98029,30428,11630,36.8,128887,169042
98030,39255,13580,33.8,63158,82105
98031,43488,14571,35.4,77523,96031
98032,37384,14559,34.8,58633,77196
98033,39186,17450,40.6,123776,166012
98034,51751,21461,38.6,101439,130757
98036,39936,15365,38.6,75873,97453
98037,29086,11090,39.7,74832,92846
98038,36354,12345,37.4,111413,134144
98039,3117,1109,46.1,231897,288053
98040,25048,10138,46.3,154028,222927
98042,50298,17035,38.5,102523,122259
98043,21517,9076,39.3,74718,92289
98045,15386,5748,40.5,104754,128970
98047,7301,2485,34.1,63497,73342
98051,3901,1355,41.3,108750,135543
98052,68724,27909,35.6,127488,170361
98053,23543,8620,41.7,150000,199492
98055,24070,9562,37.0,70074,94829
98056,38556,15136,38.0,84714,112012
98057,14552,6638,37.3,55766,79396
98058,46082,16690,38.4,92863,116805
98059,40085,13972,37.9,116294,145349
98065,15575,5067,35.7,134469,162527
98070,11594,4996,51.9,87246,119334
98072,24622,9356,41.6,127288,174507
98074,29657,9672,37.4,179350,226973
98075,25034,8081,38.2,169023,222085
98077,13754,4796,46.1,146453,198420
98087,36823,14268,35.9,74566,91386
98092,48770,16772,35.6,86749,107809
98101,13002,8919,44.9,70366,109614
98102,23896,14982,36.2,92453,124725
98103,51850,25521,36.9,99491,133976
98104,15642,8401,42.2,44275,79064
98105,45589,17913,26.7,58654,111711
98106,27639,11045,36.7,64571,84068
98107,25997,14248,38.2,95960,120240
98108,25755,8633,37.6,64541,88945
98109,26070,15641,37.0,103925,136082
98110,24464,10254,50.1,117279,159187
98112,22039,10488,41.0,133757,188562
98115,51354,22817,38.9,108635,152384
98116,24962,12568,44.2,96627,130832
98117,33671,14635,41.3,109306,136707
98118,49221,17521,38.8,68606,94016
98119,23966,12537,37.1,93639,148129
98121,17289,12173,38.0,91123,126431
98122,38233,19915,34.7,73775,110617
98125,42516,19949,39.5,66579,96922
98126,24095,10767,39.2,82225,111983
98133,50075,22738,40.8,66785,90806
98134,823,398,41.4,72115,100812
98136,16071,7649,44.5,105131,140202
98144,31684,13474,40.1,76786,114608
98146,28617,10624,39.0,67865,91684
98148,10766,4388,37.4,58257,77426
98155,35733,14439,42.6,87810,114306
98158,7,3,30.0,30000,30833
98166,22512,9317,43.3,75719,106995
98168,36564,12605,35.9,58351,72504
98177,20181,8272,48.2,107464,145678
98178,25555,9248,39.6,72665,87980
98188,25268,9778,36.5,54638,72987
98195,2970,2,20.0,137500,143750
98198,38145,14477,38.5,65068,85405
98199,21455,9703,42.4,110143,159818
98201,32527,14014,38.2,49798,66584
98203,37722,14836,39.0,70156,89842
98204,44806,18044,33.1,54874,69893
