zip_code,dog_median_size,cat_mixed_explicit_perc,cat_mixed_inferred_perc,cat_single_perc,dog_mixed_explicit_perc,dog_mixed_inferred_perc,dog_single_perc,cat_mixed_explicit_cnt,cat_mixed_inferred_cnt,cat_single_cnt,cat_all_cnt,dog_mixed_explicit_cnt,dog_mixed_inferred_cnt,dog_single_cnt,dog_all_cnt,dog_vs_cat,dog_share,total_mixed_explicit_cnt,total_mixed_inferred_cnt,total_single_cnt,total_all_cnt
98101,19, 0.276 , 0.050 , 0.674 , 0.153 , 0.293 , 0.554 ,105,19,256,380,90,173,327,590,1.552631579,0.608247423,195,192,583,970
98102,43, 0.261 , 0.030 , 0.710 , 0.122 , 0.293 , 0.585 ,236,27,643,906,166,399,796,"1,361",1.502207506,0.600352889,402,426,1439,2267
98103,43, 0.234 , 0.036 , 0.730 , 0.143 , 0.316 , 0.541 ,543,83,"1,694","2,320",555,"1,224","2,096","3,875",1.670258621,0.625504439,1098,1307,3790,6195
98104,19, 0.299 , 0.036 , 0.666 , 0.197 , 0.271 , 0.532 ,83,10,185,278,93,128,251,472,1.697841727,0.629333333,176,138,436,750
98105,50, 0.291 , 0.041 , 0.668 , 0.131 , 0.289 , 0.579 ,304,43,699,"1,046",241,532,"1,065","1,838",1.757170172,0.637309293,545,575,1764,2884
98106,25, 0.236 , 0.038 , 0.726 , 0.147 , 0.301 , 0.552 ,157,25,482,664,271,557,"1,020","1,848",2.78313253,0.73566879,428,582,1502,2512
98107,43, 0.214 , 0.042 , 0.744 , 0.174 , 0.311 , 0.514 ,279,54,969,"1,302",369,659,"1,089","2,117",1.625960061,0.619186897,648,713,2058,3419
98108,24, 0.240 , 0.027 , 0.734 , 0.172 , 0.291 , 0.537 ,98,11,300,409,189,321,592,"1,102",2.694376528,0.729318332,287,332,892,1511
98109,43, 0.259 , 0.039 , 0.702 , 0.151 , 0.299 , 0.550 ,235,35,637,907,259,513,942,"1,714",1.889746417,0.653948874,494,548,1579,2621
98112,51, 0.173 , 0.033 , 0.794 , 0.102 , 0.287 , 0.612 ,146,28,670,844,189,532,"1,135","1,856",2.199052133,0.687407407,335,560,1805,2700
98115,50, 0.200 , 0.031 , 0.769 , 0.120 , 0.298 , 0.582 ,451,70,"1,731","2,252",506,"1,258","2,458","4,222",1.874777975,0.65214705,957,1328,4189,6474
98116,43, 0.142 , 0.031 , 0.827 , 0.119 , 0.287 , 0.595 ,123,27,718,868,255,616,"1,279","2,150",2.476958525,0.712392313,378,643,1997,3018
98117,43, 0.195 , 0.035 , 0.771 , 0.152 , 0.290 , 0.558 ,367,65,"1,453","1,885",531,"1,013","1,950","3,494",1.853580902,0.649563116,898,1078,3403,5379
98118,38, 0.186 , 0.037 , 0.777 , 0.145 , 0.309 , 0.546 ,163,32,681,876,363,772,"1,365","2,500",2.853881279,0.740521327,526,804,2046,3376
98119,43, 0.254 , 0.043 , 0.703 , 0.154 , 0.285 , 0.561 ,231,39,639,909,257,476,938,"1,671",1.838283828,0.647674419,488,515,1577,2580
98121,24, 0.299 , 0.047 , 0.655 , 0.146 , 0.300 , 0.554 ,140,22,307,469,124,254,470,848,1.808102345,0.643887623,264,276,777,1317
98122,43, 0.266 , 0.036 , 0.698 , 0.138 , 0.305 , 0.557 ,343,47,900,"1,290",293,647,"1,182","2,122",1.64496124,0.621922626,636,694,2082,3412
98125,38, 0.211 , 0.032 , 0.756 , 0.157 , 0.281 , 0.562 ,296,45,"1,059","1,400",428,764,"1,527","2,719",1.942142857,0.660111678,724,809,2586,4119
98126,43, 0.171 , 0.033 , 0.797 , 0.156 , 0.279 , 0.565 ,126,24,588,738,289,519,"1,050","1,858",2.517615176,0.715716487,415,543,1638,2596
98133,43, 0.215 , 0.042 , 0.743 , 0.165 , 0.300 , 0.536 ,205,40,709,954,252,459,821,"1,532",1.605870021,0.616251006,457,499,1530,2486
98134,18, 0.177 ,, 0.824 , 0.135 , 0.162 , 0.703 ,3,,14,17,5,6,26,37,2.176470588,0.685185185,8,6,40,54
98136,43, 0.146 , 0.028 , 0.826 , 0.146 , 0.285 , 0.570 ,87,17,494,598,219,428,857,"1,504",2.515050167,0.715509039,306,445,1351,2102
98144,35, 0.200 , 0.037 , 0.763 , 0.124 , 0.298 , 0.578 ,155,29,592,776,224,536,"1,040","1,800",2.319587629,0.698757764,379,565,1632,2576
98146,50, 0.184 , 0.056 , 0.759 , 0.131 , 0.270 , 0.600 ,49,15,202,266,82,169,376,627,2.357142857,0.70212766,131,184,578,893
98155,19, 0.692 ,, 0.308 , 0.250 , 0.357 , 0.393 ,9,,4,13,7,10,11,28,2.153846154,0.682926829,16,10,15,41
98168,43, 0.500 ,, 0.500 , 0.160 , 0.320 , 0.520 ,3,,3,6,4,8,13,25,4.166666667,0.806451613,7,8,16,31
98177,58, 0.205 , 0.025 , 0.771 , 0.140 , 0.281 , 0.579 ,75,9,282,366,122,245,505,872,2.382513661,0.704361874,197,254,787,1238
98178,24, 0.245 , 0.029 , 0.727 , 0.172 , 0.258 , 0.570 ,34,4,101,139,70,105,232,407,2.928057554,0.745421245,104,109,333,546
98199,50, 0.220 , 0.023 , 0.756 , 0.141 , 0.276 , 0.584 ,227,24,779,"1,030",309,606,"1,284","2,199",2.134951456,0.681015794,536,630,2063,3229
