zip_code,neighborhoods
98101,Pike Place Market
98102,"Capitol Hill, Eastlake, Portage Bay"
98103,"Greenwood, Northgate, Licton Springs, Freemont, Wallingford, Green Lake, Phinney Ridge"
98104,"Pioneer Square, Downtown, First Hill"
98105,"University District, Laurelhurst, Windermere"
98106,"Delridge, Highland Park"
98107,"Ballard, West Woodland"
98108,"Beacon Hill, Georgetown, South Park"
98109,"Queen Anne, South Lake Union, Westlake"
98112,"Madison Park, Montlake, Denny-Blaine"
98115,"Maple Leaf, Lake City, Meadowbrook, Wedgewood, Sandpoint"
98116,"West Seattle, Alki"
98117,"North Beach (Blue Ridge), Crown Hill"
98118,"Columbia City, Mount Baker, Rainier Valley, Rainier Beach"
98119,"Interbay, North Queen Anne, West Queen Anne"
98121,Belltown
98122,"Madrona, Madison Park"
98125,"Haller Lake, Pinehurst, Lake City, Meadowbrook, Olympic Hills"
98126,"Fauntleroy, White Center"
98133,"Bitter Lake, Haller Lake, North College Park"
98134,Industrial District
98136,"Fauntleroy, Seaview"
98144,"Mount Baker, Leschi"
98146,"White Center, Shorewood, Arroyo Heights, Arbor Heights"
98155,"North City, Ridgecrest"
98168,"White Center, Boulevard Park"
98177,"Broadview, North Beach (Blue Ridge)"
98178,"Rainier View, Lakeridge"
98199,"Magnolia, Lawton Park"
